"QltyAssAgencyType","QltyAssAgencyTypeDesc","QltyAssAgencyTypeDesc2","EffectiveFrom","EffectiveTo"
"0","Not QAA Recognised Access to Higher Education Course","NOT QAA","01 Jan 2011",""
"1","QAA Recognised Access to Higher Education Course","QAA Access to HE","01 Jan 2011",""
