"FullLevel2EntitlementCategory","FullLevel2EntitlementCategoryDesc","FullLevel2EntitlementCategoryDesc2","EffectiveFrom","EffectiveTo"
"-2","Not Applicable","Not App","01 Aug 2004",""
"-1","Unknown","Unknown","01 Jan 2004",""
"1","Full Level 2 Qualification","Full Level 2","01 Aug 2004",""
"2","AS/A2","AS/A2","01 Aug 2004",""
"3","A Level","A Level","01 Aug 2004",""
"4","GCSE (including short course GCSE)","GCSE","01 Aug 2004",""
