"KeySkillsIndicator","KeySkillsIndicatorDesc","KeySkillsIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not a Key Skills aim","No","01 Aug 2012",""
"1","the learning delivery is a Key Skills aim","Yes","01 Aug 2012",""
