"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"CB.6123","Javascript (Computer Programming Language)","Javascript (Comp Prog Lang)","11 Dec 2006",""
"CB.613","Computer Programming Languages L-R","Comp Prog Lang L-R","11 Dec 2006",""
"CB.6131","Computer Programming Languages L","Comp Prog Lang L","11 Dec 2006",""
"CB.61311","Lingo (Computer Programming Language)","Lingo (Comp Prog Lang)","11 Dec 2006",""
"CB.61312","Lotusscript (Computer Programming Language)","Lotusscript (Comp Prog Lang)","11 Dec 2006",""
"CB.6132","Computer Programming Languages M","Comp Prog Lang M","11 Dec 2006",""
"CB.6133","Computer Programming Languages O","Comp Prog Lang O","11 Dec 2006",""
"CB.6134","Computer Programming Languages P","Comp Prog Lang P","11 Dec 2006",""
"CB.61341","Pascal (Computer Programming Language)","Pascal (Comp Prog Lang)","11 Dec 2006",""
"CB.61342","Perl (Computer Programming Language)","Perl (Comp Prog Lang)","11 Dec 2006",""
"CB.61343","Php (Computer Programming Language)","Php (Comp Prog Lang)","11 Dec 2006",""
"CB.61344","Pl/1 (Computer Programming Language)","Pl/ 1 (Comp Prog Lang)","11 Dec 2006",""
"CB.61345","Python (Computer Programming Language)","Python (Comp Prog Lang)","11 Dec 2006",""
"CB.6135","Computer Programming Languages Q","Comp Prog Lang Q","11 Dec 2006",""
"CB.6136","Computer Programming Languages R","Comp Prog Lang R","11 Dec 2006",""
"CB.61361","Rexx (Computer Programming Language)","Rexx (Comp Prog Lang)","11 Dec 2006",""
"CB.61362","Rpg (Computer Programming Language)","Rpg (Comp Prog Lang)","11 Dec 2006",""
"CB.614","Computer Programming Languages S-Z","Comp Prog Lang S-Z","11 Dec 2006",""
"CB.6141","Wml Script (Computer Programming Language)","Wml Script (Comp Prog Lang)","11 Dec 2006",""
"CB.6142","Vb Script (Computer Programming Language)","Vb Script (Comp Prog Lang)","11 Dec 2006",""
"CB.62","Computer Programming Techniques","Comp Prog Tech","11 Dec 2006",""
"CB.63","Computer Programming Using Fourth Generation Languages","Comp Prog Usg 4Th Gen Lang","11 Dec 2006",""
"CB.631","Focus 4Gl (Computer Programming Language)","Focus 4Gl (Comp Prog Lang)","11 Dec 2006",""
"CB.64","Computer Programming Using Visual Development Environments","Comp Prog Usg Vis Dev Envs","11 Dec 2006",""
"CB.641","Computer Programming Using Visual Development Environments A-D","Comp Prog Usg Vis Dev Envs A-D","11 Dec 2006",""
"CB.6411","Delphi (Visual Development Environment)","Delphi (Vis Dev Env)","11 Dec 2006",""
"CB.642","Computer Programming Using Visual Development Environments E-K","Comp Prog Usg Vis Dev Envs E-K","11 Dec 2006",""
"CB.643","Computer Programming Using Visual Development Environments L-R","Comp Prog Usg Vis Dev Envs L-R","11 Dec 2006",""
"CB.6431","Powerbuilder (Integrated Development Environment)","Pwrbuilder (Intgd Dev Env)","11 Dec 2006",""
"CB.644","Computer Programming Using Visual Development Environments S-Z","Comp Prog Usg Vis Dev Envs S-Z","11 Dec 2006",""
"CB.6441","Visual Basic (Visual Development Environment)","Vis Basic (Vis Dev Env)","11 Dec 2006",""
"CB.6442","Visual C++ (Visual Development Environment)","Vis C++ (Vis Dev Env)","11 Dec 2006",""
"CB.6443","Visual C# (Visual Development Environment)","Vis C# (Vis Dev Env)","11 Dec 2006",""
"CB.6444","Visual Foxpro (Visual Development Environment)","Vis Foxpro (Vis Dev Env)","11 Dec 2006",""
"CB.6446","Visual Studio (Visual Development Environment)","Vis Studio (Vis Dev Env)","11 Dec 2006",""
"CB.6447","Websphere Application Developer (Wsad) (Visual Development Environment)","Websphere App Dev (Wsad) (Vis Dev Env)","11 Dec 2006",""
"CB.65","Operating Systems (General)","Op Sys (Gen)","11 Dec 2006",""
"CB.66","Software Engineering","Sfwre Engnr","11 Dec 2006",""
"CB.661","Client and Middleware Software Applications Development","Client & Midware Sfwre Apps Dev","11 Dec 2006",""
"CB.662","Computer Aided Software Engineering (Case)","Comp Aided Sfwre Engnr (Case)","11 Dec 2006",""
"CB.6621","Hps/Appbuilder","Hps/ Appbuilder","11 Dec 2006",""
"CB.6622","Oracle Designer (Case Software)","Oracle Deser (Case Sfwre)","11 Dec 2006",""
"CB.6623","Rational Clearcase","Rational Clearcase","11 Dec 2006",""
"CB.663","Human Computer Interface (Hci) Development","Human Comp Intrf (Hci) Dev","11 Dec 2006",""
"CB.6631","Virtual Reality Systems Design","Virtual Reality Sys Des","11 Dec 2006",""
"CB.664","Software Design Methodologies","Sfwre Des Mthologies","11 Dec 2006",""
"CB.6641","Object Oriented Design","Object Oriented Des","11 Dec 2006",""
"CB.6642","Rapid Application Development","Rapid App Dev","11 Dec 2006",""
"CB.665","Software Quality Assurance","Sfwre Qlty Assurance","11 Dec 2006",""
"CB.6651","Software Testing","Sfwre Testing","11 Dec 2006",""
"CB.66511","Load Testing (Computer Systems)","Load Testing (Comp Sys)","11 Dec 2006",""
"CB.66512","Penetration Testing (Computer Systems)","Penetration Testing (Comp Sys)","11 Dec 2006",""
"CB.66513","System Testing","Sys Testing","11 Dec 2006",""
"CB.66514","User Acceptance Testing","User Acceptance Testing","11 Dec 2006",""
"CC.","Using Software","Usg Sfwre","11 Dec 2006",""
"CC.1","Common Office Software (Use)","Comm Office Sfwre (Use)","11 Dec 2006",""
"CC.11","Database Software (Use)","Dbase Sfwre (Use)","11 Dec 2006",""
"CC.111","Database Software (Use) A-D","Dbase Sfwre (Use) A-D","11 Dec 2006",""
"CC.1111","Database Software (Use) A","Dbase Sfwre (Use) A","11 Dec 2006",""
"CC.11111","Access (Database Software)","Acc (Dbase Sfwre)","11 Dec 2006",""
"CC.111111","Access (Database Software)(Introductory)","Acc (Dbase Sfwre)(Intro)","11 Dec 2006",""
"CC.111112","Access (Database Software)(Intermediate)","Acc (Dbase Sfwre)(Interm)","11 Dec 2006",""
"CC.111113","Access (Database Software)(Advanced)","Acc (Dbase Sfwre)(Adv)","11 Dec 2006",""
"CC.11112","Adabas (Database Software)","Adabas (Dbase Sfwre)","11 Dec 2006",""
"CC.11113","Adaptive Server (Database Software)","Adaptive Srvr (Dbase Sfwre)","11 Dec 2006",""
"CC.11114","Approach (Database Software)","Approach (Dbase Sfwre)","11 Dec 2006",""
"CC.1112","Database Software (Use) B","Dbase Sfwre (Use) B","11 Dec 2006",""
"CC.1113","Database Software (Use) C","Dbase Sfwre (Use) C","11 Dec 2006",""
"CC.1114","Database Software (Use) D","Dbase Sfwre (Use) D","11 Dec 2006",""
"CC.11141","Db2 (Database Software)","Db2 (Dbase Sfwre)","11 Dec 2006",""
"CC.112","Database Software (Use) E-K","Dbase Sfwre (Use) E-K","11 Dec 2006",""
"CC.1121","Filemaker Pro (Database Software)","Filemaker Pro (Dbase Sfwre)","11 Dec 2006",""
"CC.1122","Foxbase / Foxpro (Database Software)","Foxbase/ Foxpro (Dbase Sfwre)","11 Dec 2006",""
"CC.1123","Ims/Db (Database Software)","Ims/ Db (Dbase Sfwre)","11 Dec 2006",""
"CC.1124","Informix (Database Software)","Informix (Dbase Sfwre)","11 Dec 2006",""
"CC.1125","Interbase (Database Software)","Interbase (Dbase Sfwre)","11 Dec 2006",""
"CC.113","Database Software (Use) L-R","Dbase Sfwre (Use) L-R","11 Dec 2006",""
"CC.1131","Mysql (Database Software)","Mysql (Dbase Sfwre)","11 Dec 2006",""
"CC.1132","Omnis (Database Software)","Omnis (Dbase Sfwre)","11 Dec 2006",""
"CC.1133","Oracle (Database Software)","Oracle (Dbase Sfwre)","11 Dec 2006",""
"CC.11331","Oracle Applications Development","Oracle Apps Dev","11 Dec 2006",""
"CC.1134","Paradox (Database Software)","Paradox (Dbase Sfwre)","11 Dec 2006",""
"CC.114","Database Software (Use) S-Z","Dbase Sfwre (Use) S-Z","11 Dec 2006",""
