"LearnDirectClassSystemCode","LearnDirectClassSystemCodeDesc","LearnDirectClassSystemCodeDesc2","EffectiveFrom","EffectiveTo"
"CC.54213","Shell Systems (Unix)","Shell Sys (Unix)","11 Dec 2006",""
"CC.542131","Bourne Shell (Unix)","Bourne Shell (Unix)","11 Dec 2006",""
"CC.542132","Korn Shell (Unix)","Korn Shell (Unix)","11 Dec 2006",""
"CC.543","Operating Systems (Use) V","Op Sys (Use) V","11 Dec 2006",""
"CC.5431","Vm (Operating System)","Vm (Op Sys)","11 Dec 2006",""
"CC.5432","Vms (Operating System)","Vms (Op Sys)","11 Dec 2006",""
"CC.544","Operating Systems (Use) W-Z","Op Sys (Use) W-Z","11 Dec 2006",""
"CC.5441","Windows (General) (Operating System)","Windows (Gen) (Op Sys)","11 Dec 2006",""
"CC.54411","Windows 2000 (Operating System)","Windows 2000 (Op Sys)","11 Dec 2006",""
"CC.54412","Windows Ce (Operating System)","Windows Ce (Op Sys)","11 Dec 2006",""
"CC.54413","Windows Me (Operating System)","Windows Me (Op Sys)","11 Dec 2006",""
"CC.54414","Windows Nt (Operating System)","Windows Nt (Op Sys)","11 Dec 2006",""
"CC.54415","Windows Server 2003 (Operating System)","Windows Srvr 2003 (Op Sys)","11 Dec 2006",""
"CC.54416","Windows Xp (Operating System)","Windows Xp (Op Sys)","11 Dec 2006",""
"CC.5442","Z/Os (Operating System)","Z/ Os (Op Sys)","11 Dec 2006",""
"CC.6","Software For Specific Subjects and Industries (Use)","Sfwre For Spec Subs & Ins (Use)","11 Dec 2006",""
"CC.61","Agriculture / Catering / Leisure Services Software","Agric/ Catrg/ Lsr Svc Sfwre","11 Dec 2006",""
"CC.611","Ticketing Software","Ticketing Sfwre","11 Dec 2006",""
"CC.6111","Amadeus (Ticketing Software)","Amadeus (Ticketing Sfwre)","11 Dec 2006",""
"CC.6112","Galileo (Ticketing Software)","Galileo (Ticketing Sfwre)","11 Dec 2006",""
"CC.6113","Sabre (Ticketing Software)","Sabre (Ticketing Sfwre)","11 Dec 2006",""
"CC.6114","Worldspan (Ticketing Software)","Worldspan (Ticketing Sfwre)","11 Dec 2006",""
"CC.62","Architecture Engineering Construction Or Transport Software","Arch Engnr Const Or Trns Sfwre","11 Dec 2006",""
"CC.621","Engineering and Manufacturing Software","Engnr & Manuf Sfwre","11 Dec 2006",""
"CC.622","Transport Software","Trns Sfwre","11 Dec 2006",""
"CC.6221","Autoroute (Route Planning Software)","Autoroute (Route Plan Sfwre)","11 Dec 2006",""
"CC.63","Business Software (Use)","Bus Sfwre (Use)","11 Dec 2006",""
"CC.631","Accounting and Payroll Software (Use)","Accnt & Payroll Sfwre (Use)","11 Dec 2006",""
"CC.6311","Accounting Software (Use)","Accnt Sfwre (Use)","11 Dec 2006",""
"CC.63111","Accounting Software (Use) A-D","Accnt Sfwre (Use) A-D","11 Dec 2006",""
"CC.631111","Accountsmaster (Accounts Software)","Accsmast","11 Dec 2006",""
"CC.63112","Accounting Software (Use) E-K","Accnt Sfwre (Use) E-K","11 Dec 2006",""
"CC.631121","Financial Control (Accounts Software)","Fin Cont","11 Dec 2006",""
"CC.631122","Great Plains (Accounts Software)","Gt Plains","11 Dec 2006",""
"CC.63113","Accounting Software (Use) L-R","Accnt Sfwre (Use) L-R","11 Dec 2006",""
"CC.631131","Money (Accounts Software)","Money","11 Dec 2006",""
"CC.631132","Pastel (Accounts Software)","Pastel","11 Dec 2006",""
"CC.631133","Pegasus (Accounts Software)","Pegasus","11 Dec 2006",""
"CC.631134","Quickbooks (Accounts Software)","Quickbooks","11 Dec 2006",""
"CC.631135","Quicken (Accounts Software)","Quicken","11 Dec 2006",""
"CC.63114","Accounting Software (Use) S-Z","Accnt Sfwre (Use) S-Z","11 Dec 2006",""
"CC.631141","Sage (Accounts Software)","Sage","11 Dec 2006",""
"CC.631142","Tas Books (Accounts Software)","Tas Books","11 Dec 2006",""
"CC.631143","Viztopia Accounts (Accounts Software)","Viztopia Accs","11 Dec 2006",""
"CC.6312","Payroll Software (Use)","Payroll Sfwre (Use)","11 Dec 2006",""
"CC.63121","Payroll (Pegasus) (Payroll Software)","Payroll (Pegasus) (Payroll Sfwre)","11 Dec 2006",""
"CC.63122","Payroll (Sage) (Payroll Software)","Payroll (Sage) (Payroll Sfwre)","11 Dec 2006",""
"CC.632","Business Analysis Software (Use)","Bus Anlys Sfwre (Use)","11 Dec 2006",""
"CC.6321","Business Intelligence Software (Use)","Bus Intel Sfwre (Use)","11 Dec 2006",""
"CC.63211","Business Objects (Business Intelligence Software)","Bus Objects (Bus Intel Sfwre)","11 Dec 2006",""
"CC.63212","Crystal Reports (Business Intelligence Software)","Crystal Reports (Bus Intel Sfwre)","11 Dec 2006",""
"CC.63213","Oracle Discoverer (Business Intelligence Software)","Oracle Discoverer (Bus Intel Sfwre)","11 Dec 2006",""
"CC.63214","Oracle Financials (Business Intelligence Software)","Oracle Fins (Bus Intel Sfwre)","11 Dec 2006",""
"CC.63215","Power Play (Business Intelligence Software)","Pwr Play (Bus Intel Sfwre)","11 Dec 2006",""
"CC.63216","Sap (Business Intelligence Software)","Sap (Bus Intel Sfwre)","11 Dec 2006",""
"CC.6322","Business Modelling Software (Use)","Bus Modelling Sfwre (Use)","11 Dec 2006",""
"CC.633","Business Management Software (Use)","Bus Mngm Sfwre (Use)","11 Dec 2006",""
"CC.6331","Axapta (Enterprise Resource Management Software)","Axapta (Ent Res Mngm Sfwre)","11 Dec 2006",""
"CC.6332","Meridian (Document Management Software)","Meridian (Doc Mngm Sfwre)","11 Dec 2006",""
"CC.6333","Navision (Business Management Software)","Navision (Bus Mngm Sfwre)","11 Dec 2006",""
"CC.634","Customer Relationship Management Software (Use)","Cust Rel Mngm Sfwre (Use)","11 Dec 2006",""
"CC.6341","Act (Customer Relationship Management Software)","Act (Cust Rel Mngm Sfwre)","11 Dec 2006",""
"CC.6342","Goldmine (Customer Relationship Management Software)","Goldmine (Cust Rel Mngm Sfwre)","11 Dec 2006",""
"CC.6343","Maximizer (Customer Relationship Management Software)","Maximizer (Cust Rel Mngm Sfwre)","11 Dec 2006",""
"CC.635","Group Working Software (Use)","Grp Wrk Sfwre (Use)","11 Dec 2006",""
"CC.6351","Domino (Group Working Software)","Domino (Grp Wrk Sfwre)","11 Dec 2006",""
"CC.6352","Groupwise (Group Working Software)","Grpwise (Grp Wrk Sfwre)","11 Dec 2006",""
"CC.6353","Notes (Group Working Software)","Notes (Grp Wrk Sfwre)","11 Dec 2006",""
"CC.6354","Quickplace (Group Working Software)","Quickplace (Grp Wrk Sfwre)","11 Dec 2006",""
"CC.636","Management Information Systems Software (Use)","Mngm Info Sys Sfwre (Use)","11 Dec 2006",""
"CC.637","Project Management Software (Use)","Proj Mngm Sfwre (Use)","11 Dec 2006",""
"CC.6371","Project (Project Management Software)","Proj (Proj Mngm Sfwre)","11 Dec 2006",""
"CC.6372","Project Manager Workbench (Project Management Software)","Proj Mngr Wrkbench (Proj Mngm Sfwre)","11 Dec 2006",""
"CC.6373","Superproject (Project Management Software)","Superproj (Proj Mngm Sfwre)","11 Dec 2006",""
"CC.64","Education / Careers / Schools Software","Ed/ Carrs/ Sch Sfwre","11 Dec 2006",""
"CC.641","Authorware (Elearning Software)","Authware (Elrn Sfwre)","11 Dec 2006",""
"CC.642","Encarta (Online Encyclopedia Software)","Enc (Online Ency Sfwre)","11 Dec 2006",""
"CC.643","Moodle (Course Management Software)","Moodle (Course Mngm Sfwre)","11 Dec 2006",""
"CC.65","Health / Sciences / Environment Software","Hlth/ Scis/ Env Sfwre","11 Dec 2006",""
"CC.651","Sciences Software","Scis Sfwre","11 Dec 2006",""
"CC.652","Mathematics Software","Maths Sfwre","11 Dec 2006",""
"CC.6521","Statistics Software","Stats Sfwre","11 Dec 2006",""
"CC.65211","Statistical Analysis System (Sas)","Stat Anlys Sys (Sas)","11 Dec 2006",""
"CC.65212","Statistical Package For The Social Sciences (Spss)","Stat Pck For The Soc Scis (Spss)","11 Dec 2006",""
"CC.66","Social Sciences / Humanities / Arts and Crafts Software","Soc Scis/ Hmnt/ Arts & Crft Sfwre","11 Dec 2006",""
"CC.661","Arts and Crafts Software","Arts & Crft Sfwre","11 Dec 2006",""
"CC.6611","Music Software","Mus Sfwre","11 Dec 2006",""
"CC.66111","Logic Pro (Music Software)","Logic Pro (Mus Sfwre)","11 Dec 2006",""
"CC.66112","Reason (Music Software)","Reason (Mus Sfwre)","11 Dec 2006",""
"CC.6612","Recording Software (Audio-Visual)","Rec Sfwre (Av)","11 Dec 2006",""
"CC.662","Geographical Information Systems Software (Use)","Geogrph Info Sys Sfwre (Use)","11 Dec 2006",""
"CC.6621","Map Info (Geographical Information Systems Software)","Map Info (Geogrph Info Sys Sfwre)","11 Dec 2006",""
"CC.663","Library Software","Lib Sfwre","11 Dec 2006",""
"CC.664","Software For Film/Video Industry","Sfwre For Film/ Vid Ind","11 Dec 2006",""
"CC.6641","Shake (Image Compositing Software)","Shake (Image Compositing Sfwre)","11 Dec 2006",""
"CC.67","Telephony Applications","Telephony Apps","11 Dec 2006",""
"CC.671","Communication Server (Telephony Software)","Comm Srvr (Telephony Sfwre)","11 Dec 2006",""
"CC.672","Optivity Telephony Manager (Otm)","Optivity Telephony Mngr (Otm)","11 Dec 2006",""
"CD.","Information Work / Information Use","Info Wrk/ Info Use","11 Dec 2006",""
"CD.1","Arts / Humanities Information Services","Arts/ Hmnt Info Svc","11 Dec 2006",""
"CD.2","Business Information Services","Bus Info Svc","11 Dec 2006",""
"CD.3","Current Affairs / News Information Services","Current Affairs/ News Info Svc","11 Dec 2006",""
"CD.4","Information / Data Collection and Handling","Info/ Data Coll & Hnd","11 Dec 2006",""
"CD.41","Questionnaire Design","Questionnaire Des","11 Dec 2006",""
"CD.5","Information Sources Use/Searching","Info Sources Use/ Srching","11 Dec 2006",""
"CD.6","Information Work / Services","Info Wrk/ Svc","11 Dec 2006",""
"CD.7","Scientific / Technical Information Services","Sci/ Tech Info Svc","11 Dec 2006",""
"CE.","Libraries / Librarianship","Libs/ Librarianship","11 Dec 2006",""
"CE.1","Librarianship and Library Management","Librarianship & Lib Mngm","11 Dec 2006",""
"CE.2","Libraries Specific Types","Libs Spec Types","11 Dec 2006",""
"CE.21","Scientific Or Technical Libraries","Sci Or Tech Libs","11 Dec 2006",""
"CE.3","Library Assistants Work","Lib Asss Wrk","11 Dec 2006",""
"CE.4","Library Services","Lib Svc","11 Dec 2006",""
"D","Humanities (History / Archaeology / Religious Studies / Philosophy)","Hmnt (Hist/ Arch/ Rel Stud/ Phil)","26 Mar 2001",""
"DA.","Humanities / General Studies / Combined Studies","Hmnt/ Gen Stud/ Cmbn Stud","26 Mar 2001",""
"DA.8","General Studies","Gen Stud","26 Mar 2001",""
"DA.81","Liberal Studies","Liberal Stud","26 Mar 2001",""
"DA.82","Modular Studies","Modular Stud","26 Mar 2001",""
"DA.83","Combined Studies","Cmbn Stud","26 Mar 2001",""
"DB.","History","Hist","26 Mar 2001",""
"DB.1","History (Theoretical)","Hist (Theoretical)","26 Mar 2001",""
"DB.11","Theory / Philosophy Of History","Theory/ Phil Of Hist","26 Mar 2001",""
"DB.12","Historical Methods","Historical Mth","26 Mar 2001",""
"DB.121","Historical Research","Historical Res","26 Mar 2001",""
"DB.123","Historical Sources","Historical Sources","26 Mar 2001",""
"DB.124","Historiography","Historiogrphy","26 Mar 2001",""
"DB.2","History Of Specific Periods","Hist Of Spec Prd","26 Mar 2001",""
"DB.21","Ancient History","Anc Hist","26 Mar 2001",""
"DB.211","Pre-Classical History","Pre-Class Hist","26 Mar 2001",""
"DB.212","Classical History","Class Hist","26 Mar 2001",""
"DB.22","Early Medieval History","Early Mdvl Hist","11 Dec 2006",""
"DB.23","Late Medieval History","Late Mdvl Hist","26 Mar 2001",""
"DB.24","Renaissance History","Ren Hist","26 Mar 2001",""
"DB.25","Modern History (17Th To 20Th Century)","Mdm Hist (17Th To 20Th Cntry)","26 Mar 2001",""
"DB.26","Contemporary History (Post-1945)","Contemp Hist (Post-1945)","26 Mar 2001",""
"DB.3","Prehistory","Prehist","26 Mar 2001",""
"DB.31","Stone Age","Stone Age","26 Mar 2001",""
"DB.32","Bronze Age","Bronze Age","26 Mar 2001",""
"DB.33","Iron Age","Iron Age","26 Mar 2001",""
"DB.4","International and Comparative History","Int & Comparative Hist","26 Mar 2001",""
"DB.41","International History","Int Hist","26 Mar 2001",""
"DB.42","Comparative History","Comparative Hist","26 Mar 2001",""
"DB.5","British History","Brit Hist","26 Mar 2001",""
"DB.52","British History Specific Areas","Brit Hist Spec Areas","26 Mar 2001",""
"DB.521","English History","Eng Hist","26 Mar 2001",""
"DB.522","Anglo Irish History","Anglo Irish Hist","26 Mar 2001",""
"DB.523","Scottish History","Scot Hist","26 Mar 2001",""
"DB.524","Welsh History","Welsh Hist","26 Mar 2001",""
"DB.527","British Commonwealth History","Brit Commwealth Hist","26 Mar 2001",""
"DB.53","British History Specific Periods","Brit Hist Spec Prd","26 Mar 2001",""
"DB.531","Ancient History (Uk)","Anc Hist (Uk)","26 Mar 2001",""
"DB.5311","Pre Classical History (Uk)","Pre Class Hist (Uk)","26 Mar 2001",""
"DB.5312","Classical History (Uk)","Class Hist (Uk)","26 Mar 2001",""
"DB.532","Early Medieval History (500-1100) (Uk)","Early Mdvl Hist (500-1100","11 Dec 2006",""
"DB.533","Late Medieval History (1100-1485) (Uk)","Late Mdvl Hist (1100-1485","26 Mar 2001",""
"DB.534","Renaissance History (1485-1599) (Uk)","Ren Hist (1485-1599","26 Mar 2001",""
"DB.535","Modern History (17Th To 20Th Century) (Uk)","Mdm Hist (17Th To 20Th Cntry","26 Mar 2001",""
"DB.536","Contemporary History (Post-1945) (Uk)","Contemp Hist (Post-1945","26 Mar 2001",""
"DB.6","History Of Specific Areas / Countries","Hist Of Spec Areas/ Cntr","26 Mar 2001",""
"DB.62","Europe History","Euro Hist","26 Mar 2001",""
"DB.63","Africa History","Africa Hist","26 Mar 2001",""
"DB.64","Americas History","Americas Hist","26 Mar 2001",""
"DB.65","Asia History","Asia Hist","26 Mar 2001",""
"DB.66","Australasia History","Austral Hist","26 Mar 2001",""
"DB.67","Middle East History","Mid E Hist","26 Mar 2001",""
"DB.7","Social History","Soc Hist","26 Mar 2001",""
"DB.71","Science / Technology History","Sci/ Tech Hist","26 Mar 2001",""
"DB.711","Agricultural History","Agric Hist","26 Mar 2001",""
"DB.712","Garden History","Garden Hist","11 Dec 2006",""
"DB.72","Medicine History","Medic Hist","26 Mar 2001",""
"DB.73","Religion History","Rel Hist","26 Mar 2001",""
"DB.74","Economic / Political History","Econ/ Political Hist","26 Mar 2001",""
"DB.741","Economic History","Econ Hist","26 Mar 2001",""
"DB.7411","Industrial History","Ind Hist","26 Mar 2001",""
"DB.7412","Labour History","Labour Hist","26 Mar 2001",""
"DB.7413","Transport History","Trns Hist","26 Mar 2001",""
"DB.742","Political History","Political Hist","26 Mar 2001",""
"DB.743","Military History","Military Hist","26 Mar 2001",""
"DB.75","Local / Regional History","Local/ Regional Hist","26 Mar 2001",""
"DB.751","Local / Regional Studies","Local/ Regional Stud","26 Mar 2001",""
"DB.76","War History","War Hist","26 Mar 2001",""
"DB.77","Maritime History","Maritime Hist","26 Mar 2001",""
"DB.78","Sport History","Sport Hist","11 Dec 2006",""
"DB.8","Oral History","Oral Hist","26 Mar 2001",""
"DB.9","Family History","Fam Hist","26 Mar 2001",""
"DB.91","Genealogy","Genealogy","26 Mar 2001",""
"DC.","Archaeology","Arch","26 Mar 2001",""
"DC.2","Archaeological Practice","Arch Prac","26 Mar 2001",""
"DC.21","Archaeological Surveying","Arch Srvy","26 Mar 2001",""
"DC.22","Archaeological Drawing","Arch Drawing","26 Mar 2001",""
"DC.23","Excavation Techniques","Excavation Tech","26 Mar 2001",""
"DC.24","Analysis Of Artifacts","Anlys Of Artifacts","26 Mar 2001",""
"DC.26","Field Archaeology","Field Arch","26 Mar 2001",""
"DC.27","Archaeological Sciences","Arch Scis","26 Mar 2001",""
"DC.272","Bioarchaeology","Bioarch","26 Mar 2001",""
"DC.28","Archaeological Documentation","Arch Doc","26 Mar 2001",""
"DC.3","Archaeological Conservation","Arch Cnsv","26 Mar 2001",""
"DC.31","Archaeological Heritage Management","Arch Hrtg Mngm","26 Mar 2001",""
"DC.32","Ancient Monuments Conservation","Anc Monms Cnsv","26 Mar 2001",""
"DC.4","Paleography","Paleogrphy","26 Mar 2001",""
"DC.42","Hieroglyphics","Hieroglyphics","26 Mar 2001",""
"DC.5","Archaeology Of Specific Kinds","Arch Of Spec Kinds","26 Mar 2001",""
"DC.51","Funerary Archaeology","Funerary Arch","26 Mar 2001",""
"DC.52","Industrial Archaeology","Ind Arch","26 Mar 2001",""
"DC.53","Archaeology Of Religious Buildings","Arch Of Rel Bldgs","11 Dec 2006",""
"DC.6","Archaeology Of Specific Environments","Arch Of Spec Envs","26 Mar 2001",""
"DC.61","Marine Archaeology","Marine Arch","26 Mar 2001",""
"DC.62","Landscape Archaeology","Landscape Arch","26 Mar 2001",""
"DC.7","Archaeology Of Specific Areas / Cultures","Arch Of Spec Areas/ Cult","26 Mar 2001",""
"DC.72","Europe Archaeology","Euro Arch","26 Mar 2001",""
"DC.722","Mediterranean Europe Archaeology","Mederranean Euro Arch","26 Mar 2001",""
"DC.7221","Greek Archaeology","Greek Arch","26 Mar 2001",""
"DC.7222","Roman Archaeology","Roman Arch","26 Mar 2001",""
"DC.723","British Isles Archaeology","Brit Isles Arch","26 Mar 2001",""
"DC.73","Middle East Archaeology","Mid E Arch","26 Mar 2001",""
"DC.731","Assyriology","Assyriology","26 Mar 2001",""
"DC.732","Byzantine Archaeology","Byzantine Arch","26 Mar 2001",""
"DC.733","Egyptology","Egyptology","26 Mar 2001",""
"DC.74","Africa Archaeology","Africa Arch","26 Mar 2001",""
"DC.75","Americas Archaeology","Americas Arch","26 Mar 2001",""
"DC.76","Asia Archaeology","Asia Arch","26 Mar 2001",""
"DC.77","Australasia / Austronesia Archaeology","Austral/ Austron Arch","26 Mar 2001",""
"DC.8","Archaeology Of Specific Periods / Ages","Arch Of Spec Prd/ Ages","26 Mar 2001",""
"DD.","Religion","Rel","26 Mar 2001",""
"DD.1","Religious Studies","Rel Stud","26 Mar 2001",""
"DD.12","Philosophy Of Religion","Phil Of Rel","26 Mar 2001",""
"DD.13","Systematic Theology","Sysatic Theology","26 Mar 2001",""
"DD.14","Applied / Practical Theology","Applied/ Practical Theology","26 Mar 2001",""
"DD.15","Comparative Religion","Comparative Rel","26 Mar 2001",""
"DD.2","Christian Religious Studies","Christian Rel Stud","26 Mar 2001",""
"DD.21","Christian Ethics","Christian Ethics","26 Mar 2001",""
"DD.22","Biblical Studies (Christian)","Biblical Stud (Christian)","26 Mar 2001",""
"DD.3","Islamic Religious Studies","Islamic Rel Stud","26 Mar 2001",""
"DD.4","Jewish Religious Studies","Jewish Rel Stud","26 Mar 2001",""
"DD.5","Asian Religious Studies","Asian Rel Stud","26 Mar 2001",""
"DD.51","Buddhism","Buddhism","26 Mar 2001",""
"DD.52","Hinduism","Hinduism","26 Mar 2001",""
"DD.54","Sikhism","Sikhism","26 Mar 2001",""
"DD.56","Confucianism","Confucianism","26 Mar 2001",""
"DD.57","Taoism","Taoism","26 Mar 2001",""
"DD.6","African Religious Studies","African Rel Stud","26 Mar 2001",""
"DD.7","Australasian Religious Studies","Australn Rel Stud","26 Mar 2001",""
"DD.8","Americas Religious Studies","Americas Rel Stud","26 Mar 2001",""
"DD.9","Pastoral Studies","Pastoral Stud","26 Mar 2001",""
"DD.91","Ministry (Religion)","Ministry (Rel)","26 Mar 2001",""
"DE.","Philosophy","Phil","26 Mar 2001",""
"DE.1","Philosophy (Theory)","Phil (Theory)","26 Mar 2001",""
"DE.11","Philosophical Problems","Phil Probs","26 Mar 2001",""
"DE.12","History Of Philosophy","Hist Of Phil","26 Mar 2001",""
"DE.121","Medieval Philosophy","Mdvl Phil","26 Mar 2001",""
"DE.13","History Of Ideas","Hist Of Ideas","26 Mar 2001",""
"DE.2","Metaphysics","Metaphys","26 Mar 2001",""
"DE.21","Ontology","Ontology","26 Mar 2001",""
"DE.22","Aesthetics","Aesthetics","26 Mar 2001",""
"DE.23","Philosophy Of Mind","Phil Of Mind","26 Mar 2001",""
"DE.3","Epistemology","Epistemology","26 Mar 2001",""
"DE.4","Ethics","Ethics","26 Mar 2001",""
"DE.41","Moral Philosophy","Moral Phil","26 Mar 2001",""
"DE.42","Social Philosophy","Soc Phil","26 Mar 2001",""
"DE.421","Social Ethics","Soc Ethics","26 Mar 2001",""
"DE.5","Philosophical Method","Phil Mth","26 Mar 2001",""
"DE.51","Logic (Philosophy)","Logic (Phil)","26 Mar 2001",""
"DE.53","Linguistic Philosophy / Analysis","Ling Phil/ Anlys","26 Mar 2001",""
"DE.6","Philosophical Systems / Philosophers","Phil Sys/ Phil","26 Mar 2001",""
"DE.63","Existentialism","Existentialism","26 Mar 2001",""
"DE.64","Phenomenology","Phenomenology","26 Mar 2001",""
"DE.7","Philosophy Of Specific Areas / Cultures","Phil Of Spec Areas/ Cult","26 Mar 2001",""
"DE.8","Classical Philosophy","Class Phil","26 Mar 2001",""
"DE.81","Greek Classical Philosophy","Greek Class Phil","26 Mar 2001",""
"DE.82","Chinese Classical Philosophy","Chinese Class Phil","26 Mar 2001",""
"DF.","Classics","Classics","26 Mar 2001",""
"E","Politics / Economics / Law / Social Sciences","Pol/ Econ/ Law/ Soc Scis","26 Mar 2001",""
"EA.","Government / Politics","Gov/ Pol","26 Mar 2001",""
"EA.1","Government / Parliamentary Studies","Gov/ Parliamentary Stud","26 Mar 2001",""
"EA.11","Parliamentary Studies","Parliamentary Stud","26 Mar 2001",""
"EA.12","Local Government Studies","Local Gov Stud","26 Mar 2001",""
"EA.2","Politics","Pol","26 Mar 2001",""
"EA.21","Political Philosophies","Political Philosophies","26 Mar 2001",""
"EA.22","Political Systems","Political Sys","26 Mar 2001",""
"EA.3","Current Affairs","Current Affairs","26 Mar 2001",""
"EA.4","Policy Studies","Policy Stud","26 Mar 2001",""
"EA.5","Trade Union Studies","Trade Un Stud","26 Mar 2001",""
"EA.6","International Politics","Int Pol","26 Mar 2001",""
"EA.61","Diplomatic Studies","Diptic Stud","26 Mar 2001",""
"EA.62","Environmental (Green) Studies","Enval (Green) Stud","26 Mar 2001",""
"EA.63","Development Politics","Dev Pol","11 Dec 2006",""
"EA.7","Strategic Studies","Strat Stud","26 Mar 2001",""
"EA.71","Peace Studies","Peace Stud","26 Mar 2001",""
"EA.72","Defence Studies","Defence Stud","26 Mar 2001",""
"EA.73","War Studies","War Stud","11 Dec 2006",""
"EA.74","International Relations","Int Relations","11 Dec 2006",""
"EA.8","United Kingdom Government / Politics","United Kingdom Gov/ Pol","26 Mar 2001",""
"EA.81","England Government / Politics","Eng Gov/ Pol","26 Mar 2001",""
"EA.82","Northern Ireland Government / Politics","Northern Ire Gov/ Pol","26 Mar 2001",""
"EA.83","Scotland Government / Politics","Scot Gov/ Pol","26 Mar 2001",""
"EA.84","Wales Government / Politics","Wales Gov/ Pol","26 Mar 2001",""
"EA.9","Politics Of Specific Areas / Countries","Pol Of Spec Areas/ Cntr","26 Mar 2001",""
"EA.91","European Union Politics","Euro Un Pol","26 Mar 2001",""
"EA.92","Europe Politics","Euro Pol","26 Mar 2001",""
"EA.93","Middle East Politics","Mid E Pol","26 Mar 2001",""
"EA.94","Africa Politics","Africa Pol","26 Mar 2001",""
"EA.95","Americas Politics","Americas Pol","26 Mar 2001",""
"EA.952","North America Politics","North America Pol","26 Mar 2001",""
"EA.96","Asia Politics","Asia Pol","26 Mar 2001",""
"EA.97","Australasia / Austronesia Politics","Austral/ Austron Pol","26 Mar 2001",""
"EA.99","Third World Politics","3Rd World Pol","26 Mar 2001",""
"EB.","Economics","Econ","26 Mar 2001",""
"EB.2","Economic Policy","Econ Policy","26 Mar 2001",""
"EB.21","Economic Planning","Econ Plan","26 Mar 2001",""
"EB.22","Fiscal (Taxation) Planning","Fiscal (Taxation) Plan","26 Mar 2001",""
"EB.3","Macroeconomics","Macroecon","26 Mar 2001",""
"EB.4","Microeconomics","Microecon","26 Mar 2001",""
"EB.5","Econometrics","Econometrics","26 Mar 2001",""
"EB.51","Economic Analysis","Econ Anlys","26 Mar 2001",""
"EB.53","Economic Forecasting","Econ Forecasting","26 Mar 2001",""
"EB.6","Applied Economics","Applied Econ","26 Mar 2001",""
"EB.62","Business / Industrial Economics","Bus/ Ind Econ","26 Mar 2001",""
"EB.63","Social Economics","Soc Econ","26 Mar 2001",""
"EB.631","Health Economics","Hlth Econ","26 Mar 2001",""
"EB.64","Natural Resource Economics","Ntrl Res Econ","26 Mar 2001",""
"EB.641","Environmental Economics","Enval Econ","26 Mar 2001",""
"EB.642","Land Economics","Land Econ","26 Mar 2001",""
"EB.643","Food / Agricultural Economics","Food/ Agric Econ","26 Mar 2001",""
"EB.65","Labour Economics","Labour Econ","26 Mar 2001",""
"EB.66","Transport Economics","Trns Econ","26 Mar 2001",""
"EB.7","International Economics","Int Econ","26 Mar 2001",""
"EB.71","European Union Economics","Euro Un Econ","26 Mar 2001",""
"EB.72","Europe Economics","Euro Econ","26 Mar 2001",""
"EB.73","Middle East Economics","Mid E Econ","26 Mar 2001",""
"EB.74","Africa Economics","Africa Econ","26 Mar 2001",""
"EB.75","Americas Economics","Americas Econ","26 Mar 2001",""
"EB.76","Asia Economics","Asia Econ","26 Mar 2001",""
"EB.77","Australasia / Austronesia Economics","Austral/ Austron Econ","26 Mar 2001",""
"EB.79","Development Economics","Dev Econ","26 Mar 2001",""
"EC.","Law","Law","26 Mar 2001",""
"EC.1","Law / Legal Studies","Law/ Legal Stud","26 Mar 2001",""
"EC.12","Jurisprudence","Jurisprudence","26 Mar 2001",""
"EC.13","Comparative Law","Comparative Law","26 Mar 2001",""
"EC.14","Legal History","Legal Hist","26 Mar 2001",""
"EC.15","Legal Theory","Legal Theory","26 Mar 2001",""
"EC.16","Equity","Equity","26 Mar 2001",""
"EC.2","International Law","Int Law","26 Mar 2001",""
"EC.21","Maritime Law","Maritime Law","26 Mar 2001",""
"EC.3","Law Of Specific Areas / Countries","Law Of Spec Areas/ Cntr","26 Mar 2001",""
"EC.31","European Union Law","Euro Un Law","26 Mar 2001",""
"EC.311","Working Time - Ec Directive","Wrk Time Ec Dirive","26 Mar 2001",""
"EC.32","Europe Law","Euro Law","26 Mar 2001",""
"EC.33","Middle East Law","Mid E Law","26 Mar 2001",""
"EC.34","Africa Law","Africa Law","26 Mar 2001",""
"EC.35","Americas Law","Americas Law","26 Mar 2001",""
"EC.36","Asia Law","Asia Law","26 Mar 2001",""
"EC.37","Australasia / Austronesia Law","Austral/ Austron Law","26 Mar 2001",""
"EC.4","United Kingdom Law","United Kingdom Law","26 Mar 2001",""
"EC.41","English Law","Eng Law","26 Mar 2001",""
"EC.44","Welsh Law","Welsh Law","26 Mar 2001",""
"EC.5","Constitutional / Public Law","Constitutional/ Pub Law","26 Mar 2001",""
"EC.51","Administrative Law","Administrative Law","26 Mar 2001",""
"EC.52","Legal Rights (Law)","Legal Rights (Law)","26 Mar 2001",""
"EC.521","Sex Discrimination (Legal Rights)","Sex Disc (Legal Rights)","26 Mar 2001",""
"EC.522","Race Discrimination (Legal Rights)","Race Disc (Legal Rights)","26 Mar 2001",""
"EC.53","Environmental Law","Enval Law","26 Mar 2001",""
"EC.54","Immigration Law","Immigration Law","26 Mar 2001",""
"EC.55","Media Law","Media Law","11 Dec 2006",""
"EC.6","Criminal Law","Criminal Law","26 Mar 2001",""
"EC.7","Civil Law","Civil Law","26 Mar 2001",""
