"SFAFundedIndicator","SFAFundedIndicatorDesc","SFAFundedIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is funded by the SFA","No","01 Aug 2012",""
"1","the learning delivery is not funded by the SFA","Yes","01 Aug 2012",""
