"A2LevelIndicator","A2LevelIndicatorDesc","A2LevelIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning aim is not an A2 Level aim","No","",""
"1","the learning aim is an A2 Level aim","Yes","",""
