"AccessHEIndicator","AccessHEIndicatorDesc","AccessHEIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning aim is not an access to HE learning aim","No","",""
"1","the learning aim is an access to HE learning aim","Yes","",""
