"OfQualOfferedEngland","OfQualOfferedEnglandDesc","OfQualOfferedEnglandDesc2","EffectiveFrom","EffectiveTo"
"0","The learning delivery is not offered by OfQual in England","No","01 Aug 2012",""
"1","The learning delivery is offered by OfQual in England","Yes","01 Aug 2012",""
