"ASLevelIndicator","ASLevelIndicatorDesc","ASLevelIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning aim is not an AS Level aim","No","",""
"1","the learning aim is an AS Level aim","Yes","",""
