"MI_NotionalNVQLevel","MI_NotionalNVQLevelDesc","MI_NotionalNVQLevelDesc2","EffectiveFrom","EffectiveTo"
"-1","Unknown","Unknown","01 Aug 2001",""
"0","Entry Level","Entry","01 Aug 2001",""
"1","Level 1","Level 1","01 Aug 2001",""
"2","Level 2","Level 2","01 Aug 2001",""
"3","Level 3","Level 3","01 Aug 2001",""
"4","Level 4","Level 4","01 Aug 2001",""
"5","Level 5","Level 5","01 Aug 2001",""
"6","Higher Level","Higher","01 Aug 2001",""
"9","Other Level","Other","01 Aug 2001",""
