"MI_FullLevel2Indicator","MI_FullLevel2IndicatorDesc","MI_FullLevel2IndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","Does not count towards Full Level 2 target","No","01 Aug 2008",""
"1","Counts towards Full Level 2 target","Yes","01 Aug 2008",""
