"AwardOrgCode","AwardOrgUKPRN","AwardOrgName","AwardOrgShortName","AwardOrgAcronym","AwardOrgNonExtant","AwardOrgNotes","AwardOrgHigherEducationInstitution","EffectiveFrom","EffectiveTo"
"TELC","10066031","Telc - Language Tests","Telc - Language Tests","telc","N","","N","30 Jul 2018",""
"TLM","10022715","The Learning Machine","The Learning Machine","","N","","N","01 Mar 2007",""
"TQUK","10043783","Training Qualifications UK Ltd","","","N","","N","01 Dec 2013",""
"TRANSC","","Transcend Awards","Transcend Awards","Transcend","N","","N","28 Jan 2019",""
"TSQC","90000585","Trading Standards Institute","","TSQC","N","","N","26 Mar 2001",""
"TUC","10011029","Trades Union Congress","","TUC","N","","N","26 Mar 2001",""
"TVU","0","Thames Valley University","","","","EZ 0607AU: VT: Mod","","26 Mar 2001",""
"UAL","10007162","University of the Arts London","University of the Arts London","","N","","Y","01 Dec 2007",""
"UCB","10000712","University College Birmingham","","","N","","Y","01 Sep 2014",""
"UCCA","10006427","University for the Creative Arts","","","N","Was formerly University College for the Creative Arts.","Y","01 Aug 2006",""
"UCEM","10008173","University College of Estate Management","","","N","","Y","01 Aug 2015",""
"UCLAN","10007141","University of Central Lancashire","","UCLAN","N","","Y","18 Nov 2002",""
"UCLES","10007788","University of Cambridge","Cambridge Local Exams Synd","UCLES","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"UCPMARJN","10037449","University College Plymouth Marjon","","","N","","Y","01 Oct 2010",""
"UCS","10014001","University of Suffolk (formerly University Campus Suffolk)","","","N","","Y","01 Jul 2016",""
"UCSCP","90000575","University of Cambridge School Classics Project","","","N","","N","10 Jan 2003",""
"UEA","10007789","University of East Anglia","","","N","","Y","26 Mar 2001",""
"UEL","10007144","University of East London","University of East London","","N","","Y","01 Jun 2007",""
"UELGB","90000562","University of East London Global Examinations Board","","","N","","Y","01 Jul 2012",""
"UFI","","University for Industry","","UfI","Y","See LEARNDCT award organisation code","N","26 Mar 2001","31 Jul 2015"
"UKATH","10022451","UK Athletics","UK Athletics","","N","","N","26 Mar 2001",""
"ULSTERU","10007807","Ulster University","","","N","","Y","01 Aug 2017",""
"UNEWCAST","10007799","University Of Newcastle","University Of Newcastle","UNEWCAST","N","","Y","10 Apr 2006",""
"UNIBRI","10000886","The University of Brighton","University of Brighton","UNIBRI","N","","Y","01 Nov 2002",""
"UNIEXE","10007792","University of Exeter","","UOE","N","","Y","26 Mar 2001",""
"UNORTH","10001282","University of Northumbria","UNORTH","","N","","Y","26 Mar 2001",""
"UOB","10007785","University of Bradford","","","N","","Y","26 Mar 2001",""
"UOBATH","10007850","University of Bath","University of Bath","UOBATH","N","","Y","27 Jun 2003",""
"UOBEDS","10007152","University of Bedfordshire","University of Bedfordshire","UOBEDS","N","","Y","01 Aug 2006",""
"UOBRISTL","10007786","University of Bristol","","","N","","Y","01 Dec 2012",""
"UOBUCK","10007787","University of Buckingham","University of Buckingham","UOBUCK","N","","Y","13 Jun 2018",""
"UOCHESTR","10007848","University of Chester","University of Chester","","N","","Y","01 Jul 2006",""
"UOCHICH","10007137","University of Chichester","","","N","","Y","01 May 2008",""
"UOCUMBRI","10007842","University of Cumbria","","","N","","Y","01 Apr 2010",""
"UODE","10007851","University of Derby","University of Derby","UODE","N","","Y","03 Feb 2003",""
"UOESSEX","10007791","University of Essex","","","N","","Y","01 Jul 2012",""
"UOG","","University of Glamorgan","","","Y","** Award Org No Longer Valid - Use UOSW **","Y","26 Mar 2001","31 Jul 2014"
"UOGLOS","10007145","University of Gloucestershire","University of Gloucestershire","UOGLOS","N","","Y","20 Apr 2005",""
"UOGREENW","10007146","University of Greenwich","","","N","","Y","01 Feb 2007",""
"UOH","10007147","University of Hertfordshire","","UOH","N","","Y","26 Mar 2001",""
"UOK","10007150","University of Kent at Canterbury","","UOK","N","","Y","26 Mar 2001",""
"UOLAW","10039956","University of Law","","","N","","Y","01 Aug 2016",""
"UOLE","10007796","University of Leicester","University of Leciester","UOLE","N","","Y","10 Feb 2003",""
"UOM","10007798","University of Manchester","","","N","","Y","26 Mar 2001",""
"UONORTON","10007138","University of Northampton","University of Northampton","","N","","Y","09 Jul 2003",""
"UOPLY","10007801","University of Plymouth","University of Plymouth","UOPLY","N","","Y","05 Mar 2003",""
"UORG","10007802","University of Reading","","UORG","N","","Y","01 Sep 2004",""
"UOROEHMP","10007776","University of Roehampton","","","N","","N","01 Aug 2015",""
"UOS","10007159","University of Sunderland","","","N","","Y","26 Mar 2001",""
"UOSH","10007157","University of Sheffield","","","N","","Y","26 Mar 2001",""
"UOST","10007158","University of Southampton","","","N","","Y","26 Mar 2001",""
"UOSW","10007793","University of South Wales","","","N","","Y","26 Mar 2001",""
"UOSX","10007806","University of Sussex","","","N","","Y","26 Mar 2001",""
"UOSY","10007160","University of Surrey","","UOSY","N","","Y","26 Mar 2001",""
"UOT","10007161","University of Teesside","","UOT","N","","Y","26 Mar 2001",""
"UOW","10008574","University of Wales ","UOW","UOW","N","","N","01 Aug 2014",""
"UOWAR","10007163","University of Warwick","University of Warwick","","N","","Y","27 Jun 2003",""
"UOWINCH","10003614","University of Winchester","University of Winchester","","N","","Y","01 Jul 2006",""
"UOWL","10006566","University of West London","","","N","EZ 0607AU: VT: Mod","Y","26 Mar 2001",""
"UOWR","10007139","University of Worcester","","","N","","Y","26 Mar 2001",""
"UOWTSD","10007858","University of Wales: Trinity Saint David","","","N","","Y","01 Aug 2014",""
"UOY","10007167","University of York","","","N","","Y","26 Mar 2001",""
"UW","10007165","University of Westminster","","","N","","Y","26 Mar 2001",""
"UWE","10007164","University of the West of England","","UWE","N","","Y","26 Mar 2001",""
"VCM","90000510","Victoria College Examinations","Victoria College Exams","VCM","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"VETSKILL","0","VetSkill Limited","","","N","","N","01 Aug 2015",""
"VTCT","10022592","Vocational Training Charitable Trust","Voc Training Charitable Trust","","N","","N","26 Mar 2001",""
"WABBA","10025213","WABBA Qualifications (World Amateur Body Builders Association)","","WABBA","N","","N","26 Mar 2001",""
"WAFT","90000589","Worldwide Air Fares Training","","","N","","N","26 Mar 2001",""
"WAMITAB","10007330","Waste Management Industry Training & Advisory Board","Waste Management ITAB","WAMITAB","N","","N","26 Mar 2001",""
"WARWKCLG","10007859","Warwickshire College Group","","","N","","N","01 Aug 2015",""
"WBA","90000577","Basketball Association of Wales (The)","Basketball Assoc of Wales","WBA","N","","N","26 Mar 2001",""
"WCAN","90000534","Welsh Canoeing Association","Welsh Canoeing Association","WCA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"WCF","10039443","Worshipful Company of Farriers","WCF","WCF","N","","N","26 Mar 2001",""
"WCL","90000571","Worshipful Company of Loriners","","WCL","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"WJA","90000576","Welsh Judo Association","","WJA","N","","N","26 Mar 2001",""
"WJEC","10022716","WJEC (Formerly Welsh Joint Education Committee)","","","N","","N","26 Mar 2001",""
"WNA","10033060","Welsh Netball Association","Welsh Netball Association","","N","","N","26 Mar 2001",""
"WRU","90000592","Welsh Rugby Union","Welsh Rugby Union","WRU","N","","N","26 Mar 2001",""
"WSAL","90000513","Worshipful Society of Apothecaries of London","Worshipful Soc of Apothecaries","WSAL","N","","N","26 Mar 2001",""
"WSET","10007543","Wine & Spirit Education Trust","Wine & Spirit Education Trust","WSET","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"WTB","90000548","Wales Tourist Board","","WTB","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"WU","10007166","Wolverhampton University","Wolverhampton University","WU","N","","Y","26 Mar 2001",""
"WWTA","90000508","Welsh Weight Training Association","Welsh Weight Training Assoc","WWTA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"YMCA","10008155","YMCA Awards","","","N","20150706 Replaces CYQ","N","01 Jul 2015",""
"YORKSTJO","10007713","York St John University","","","N","","Y","01 Jun 2008",""
