"AwardOrgCode","AwardOrgUKPRN","AwardOrgName","AwardOrgShortName","AwardOrgAcronym","AwardOrgNonExtant","AwardOrgNotes","AwardOrgHigherEducationInstitution","EffectiveFrom","EffectiveTo"
"IMI","10022714","The Institute of the Motor Industry","","","N","","N","01 Aug 2015",""
"IMIAL","10036642","IMI Awards Ltd","IMI Awards Ltd","IMIAL","N","","N","26 Mar 2001",""
"IMIS","90000557","Institute for the Management of Information Systems","","IMIS","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"IMS","90000527","Institute of Management Services","Inst of Management Services","IMS","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"INNOVATE","10030507","Innovate Awarding","","","N","","N","01 Aug 2015",""
"IOA","10009337","Institute of Acoustics","","IOA","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"IOB","90000523","Institute of Brewing and Distilling","","IGB","N","","N","26 Mar 2001",""
"IOD","10012805","Institute of Directors","Institute of Directors","IoD","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"IOE","10003328","Institute of Export","Institute of Export","","N","","N","26 Mar 2001",""
"IOHOSP","10009508","Institute of Hospitality","Institute of Hospitality","IOHOSP","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
"IOL","10022693","IOL Educational Trust (Formerly Institute of Linguists Educational Trust)","","","N","","N","26 Mar 2001",""
"IOSH","90000542","Institution of Occupational Safety & Health","IOSH","IOSH","N","","N","26 Mar 2001",""
"IPD","10009191","Charted Institute of Personnel and Development","IPD","IPD","Y","","N","26 Mar 2001",""
"IPET","10081492","iPET Network Limited","iPET Network Ltd","IPET","N","","N","02 Dec 2020",""
"IPI","90000545","Institute of Professional Investigators","Inst of Prof Investigators","IPI","N","","N","26 Mar 2001",""
"IQ","10033692","Industry Qualifications","","","N","","N","01 Apr 2011",""
"IQL","10033742","Institute of Qualified Lifeguards","","IQL","N","","N","01 May 2005",""
"IRM","10019904","Institute of Risk Management","","IRM","N","","N","26 Mar 2001",""
"IRRV","10022689","Institute of Revenues Rating & Valuation","IRRV","IRRV","N","EZ 0607AU: VT: Mod","N","26 Mar 2001",""
