"MI_FullLevel3Indicator","MI_FullLevel3IndicatorDesc","MI_FullLevel3IndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","Does not count towards Full Level 3 target","No","01 Aug 2008",""
"1","Counts towards Full Level 3 target","Yes","01 Aug 2008",""
