"QCFIndicator","QCFIndicatorDesc","QCFIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not a Qualifications and Credit Framework (QCF) aim","No","01 Aug 2012",""
"1","the learning delivery is a Qualifications and Credit Framework (QCF) aim","Yes","01 Aug 2012",""
