"FunctionalSkillsIndicator","FunctionalSkillsIndicatorDesc","FunctionalSkillsIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not a Functional Skills aim","No","01 Aug 2012",""
"1","the learning delivery is a Functional Skills aim","Yes","01 Aug 2012",""
