"ALevelIndicator","ALevelIndicatorDesc","ALevelIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning aim is not an A Level aim","No","",""
"1","the learning aim is an A Level aim","Yes","",""
