"QCFDiplomaIndicator","QCFDiplomaIndicatorDesc","QCFDiplomaIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not a QCF Diploma aim","No","01 Aug 2012",""
"1","the learning delivery is a QCF Diploma aim","Yes","01 Aug 2012",""
