"OccupationalIndicator","OccupationalIndicatorDesc","OccupationalIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not an Occupational Learning aim","No","01 Aug 2012",""
"1","the learning delivery is an Occupational Learning aim","Yes","01 Aug 2012",""
