"DanceAndDramaIndicator","DanceAndDramaIndicatorDesc","DanceAndDramaIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not dance and drama","No","01 Aug 2012",""
"1","the learning delivery is dance and drama","Yes","01 Aug 2012",""
