"GCSEIndicator","GCSEIndicatorDesc","GCSEIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not a GCSE aim","No","01 Aug 2012",""
"1","the learning delivery is a GCSE aim","Yes","01 Aug 2012",""
