"GCEIndicator","GCEIndicatorDesc","GCEIndicatorDesc2","EffectiveFrom","EffectiveTo"
"0","the learning delivery is not a GCE aim","No","01 Aug 2012",""
"1","the learning delivery is a GCE aim","Yes","01 Aug 2012",""
